Date,BAJFINANCE,HDFCBANK,ICICIBANK,INFY,RELIANCE,SBIN,TCS,WIPRO
2018-08-31,278.69189453125,483.98760986328125,330.5509033203125,580.6112670898438,549.6006469726562,280.6149597167969,1701.4736328125,103.42687225341797
2018-09-07,267.72607421875,482.98968505859375,323.3146667480469,590.4822387695312,565.9560546875,264.34539794921875,1702.6602783203125,111.47785949707031
2018-09-14,260.70172119140625,476.5676574707031,316.8020324707031,591.20751953125,554.6909790039062,263.4390563964844,1690.831298828125,113.36614227294922
2018-09-21,232.13592529296875,462.6317443847656,305.94769287109375,568.322998046875,538.9108276367188,245.2661895751953,1721.73486328125,115.08277130126953
2018-09-28,211.5115966796875,471.03790283203125,294.80389404296875,588.2664184570312,556.8154907226562,240.64364624023438,1787.67724609375,111.23753356933594
2018-10-05,197.3945770263672,461.4694519042969,296.4923400878906,583.8748779296875,464.2601318359375,234.16302490234375,1721.325439453125,111.68384552001953
2018-10-12,223.1554718017578,465.3555603027344,308.16680908203125,546.9696655273438,498.6530456542969,239.0574951171875,1570.408203125,108.59391021728516
2018-10-19,208.8286895751953,462.0447082519531,304.355712890625,550.7971801757812,487.4764404296875,236.65557861328125,1566.2330322265625,110.94570922851562
2018-10-26,228.18472290039062,460.5067443847656,304.5487060546875,516.1078491210938,462.51165771484375,224.87266540527344,1475.927978515625,110.07022857666016
2018-11-02,232.51641845703125,457.7477722167969,341.9841003417969,539.445068359375,475.7908020019531,258.6352844238281,1569.737548828125,109.3149185180664
2018-11-09,231.7407989501953,456.7967834472656,344.2997131347656,537.2048950195312,484.00177001953125,256.7318420410156,1566.2509765625,111.52935791015625
2018-11-16,234.3505401611328,470.6269836425781,354.62335205078125,530.1589965820312,499.0293273925781,263.6656494140625,1547.71044921875,111.99284362792969
2018-11-23,232.34078979492188,470.90875244140625,339.6684875488281,505.640625,488.16253662109375,256.2333679199219,1486.9619140625,105.4353256225586
2018-11-30,247.57981872558594,499.7785339355469,342.6595153808594,543.6807861328125,516.8011474609375,258.0007629394531,1614.693359375,111.46068572998047
2018-12-07,242.57003784179688,494.8827819824219,339.813232421875,556.184326171875,501.8621520996094,249.61680603027344,1636.8021240234375,114.43045806884766
2018-12-14,242.57003784179688,492.0885009765625,339.52374267578125,575.1229858398438,492.3011779785156,262.1248474121094,1632.3314208984375,114.36178588867188
2018-12-21,252.80413818359375,495.7162170410156,341.742919921875,526.3712768554688,486.989501953125,264.5720520019531,1555.2576904296875,110.58521270751953
2018-12-28,257.0529479980469,498.4753112792969,348.0625,535.1279296875,498.21038818359375,267.2005310058594,1555.4630126953125,113.31465911865234
2019-01-04,251.32125854492188,497.195556640625,352.3560791015625,538.467529296875,486.303466796875,269.7837219238281,1539.7117919921875,111.39202117919922
2019-01-11,245.28712463378906,495.8924255371094,365.23651123046875,556.7544555664062,486.037841796875,274.40625,1511.5732421875,112.85115814208984
2019-01-18,248.0871124267578,500.2012023925781,358.9168701171875,595.4056396484375,524.237548828125,267.33648681640625,1562.57861328125,118.8421859741211
2019-01-25,253.61390686035156,492.1589050292969,344.63739013671875,598.1871948242188,551.5260620117188,258.6805419921875,1579.144775390625,121.34846496582031
2019-02-01,256.42852783203125,490.8558044433594,342.17706298828125,620.0557250976562,553.2744140625,257.774169921875,1668.8797607421875,127.92284393310547
2019-02-08,264.11138916015625,498.4166259765625,342.6112365722656,623.2091064453125,565.5576171875,259.224365234375,1694.7357177734375,128.3188018798828
2019-02-15,249.86268615722656,493.25079345703125,330.1167297363281,607.6882934570312,550.8399658203125,238.33241271972656,1668.67431640625,129.48941040039062
2019-02-22,257.5992736816406,491.09051513671875,339.6684875488281,601.9547729492188,545.4840698242188,245.58338928222656,1583.1319580078125,130.40179443359375
2019-03-01,259.58465576171875,489.1886291503906,341.7911376953125,607.647216796875,542.6953735351562,247.39614868164062,1640.475341796875,129.35169982910156
2019-03-08,270.0772705078125,499.71978759765625,357.5661315917969,583.4443969726562,560.8657836914062,254.8738250732422,1662.919189453125,118.29979705810547
2019-03-15,279.09674072265625,529.0238647460938,381.3974304199219,588.5224609375,585.0115356445312,270.4635009765625,1677.1011962890625,120.93937683105469
2019-03-22,276.7455749511719,534.4596557617188,378.0205078125,608.6300048828125,593.9085693359375,270.1462707519531,1648.9024658203125,119.60810089111328
2019-03-29,292.2772521972656,540.7174072265625,386.4627990722656,604.2890625,601.9866943359375,289.1349182128906,1644.5037841796875,116.94556427001953
2019-04-05,303.8235168457031,541.3748779296875,376.814453125,621.8985595703125,599.28662109375,287.367431640625,1683.966064453125,120.31964874267578
2019-04-12,293.5406188964844,531.9002685546875,380.7220458984375,612.4385986328125,594.506103515625,285.7359924316406,1656.1781005859375,130.09762573242188
2019-04-19,294.0918884277344,538.56884765625,390.1773986816406,587.2938842773438,613.47314453125,281.70263671875,1767.6170654296875,130.7402801513672
2019-04-26,302.1308288574219,535.5867919921875,392.87890625,604.4529418945312,616.505126953125,283.2434387207031,1840.37646484375,135.3308868408203
2019-05-03,303.5942687988281,556.01513671875,387.6688232421875,592.6586303710938,623.6095581054688,280.9775085449219,1752.778076171875,133.54058837890625
2019-05-10,285.1553039550781,539.2381591796875,371.5561218261719,587.1301879882812,553.8056030273438,279.2101135253906,1755.90234375,133.28810119628906
2019-05-17,322.0576477050781,554.6414794921875,375.9944152832031,592.9044189453125,560.99853515625,289.36151123046875,1722.7293701171875,131.47479248046875
2019-05-24,338.3307800292969,557.2831420898438,416.5655212402344,580.864501953125,591.7396850585938,322.0818176269531,1683.71923828125,129.8680877685547
2019-05-31,338.252685546875,569.4932250976562,408.79864501953125,604.2481079101562,588.7740478515625,319.4986267089844,1805.8463134765625,131.47479248046875
2019-06-07,342.3844299316406,574.7294311523438,401.9483337402344,605.3538818359375,582.0238647460938,310.0269470214844,1808.1942138671875,135.44566345214844
2019-06-14,343.2575988769531,571.7826538085938,403.057861328125,615.0265502929688,583.1967163085938,311.6131286621094,1868.48779296875,137.16712951660156
2019-06-21,347.8868408203125,570.3983154296875,415.6488952636719,623.1249389648438,566.3544311523438,316.6888732910156,1864.6341552734375,131.2223358154297
2019-06-28,359.13067626953125,577.380126953125,421.7273864746094,608.0078125,554.6687622070312,327.429443359375,1845.862548828125,128.76634216308594
2019-07-05,362.8428955078125,584.149169921875,421.0037536621094,596.3792724609375,559.2058715820312,335.9493713378906,1792.737548828125,124.79548645019531
2019-07-12,330.0888671875,565.6022338867188,412.03076171875,603.6471557617188,566.7970581054688,329.5594482421875,1746.7398681640625,118.87360382080078
2019-07-19,324.7722473144531,561.2903442382812,395.869873046875,652.362548828125,552.85400390625,322.6709289550781,1725.358642578125,121.51321411132812
2019-07-26,319.0549011230469,538.0533447265625,402.1082458496094,653.6914672851562,537.2730712890625,310.5254821777344,1752.02490234375,121.00825500488281
2019-08-02,316.4454650878906,524.3446044921875,397.12725830078125,644.2225341796875,527.38427734375,279.5726318359375,1831.981201171875,121.03118133544922
2019-08-09,334.21307373046875,540.3636474609375,406.3638610839844,656.05859375,517.4764404296875,264.07354736328125,1865.998779296875,120.96233367919922
2019-08-16,326.1502380371094,527.5057983398438,405.2032470703125,643.3504028320312,569.0860595703125,263.6656494140625,1798.5865478515625,114.39778137207031
2019-08-23,310.2346496582031,512.1141967773438,382.42596435546875,666.3167114257812,568.1287231445312,245.71937561035156,1867.203857421875,115.40769958496094
2019-08-30,325.6908874511719,527.5650024414062,396.2083740234375,676.8655395507812,555.9721069335938,248.21192932128906,1877.089111328125,116.78488159179688
2019-09-06,329.6490478515625,531.8153686523438,378.5088806152344,697.8385620117188,544.3720703125,248.30255126953125,1825.501708984375,115.68314361572266
2019-09-13,334.960693359375,534.5503540039062,399.8353271484375,688.8263549804688,545.752685546875,264.3907775878906,1779.3551025390625,112.63038635253906
2019-09-20,361.82232666015625,568.115966796875,403.8008117675781,668.6425170898438,558.5547485351562,273.4545593261719,1715.80517578125,112.90581512451172
2019-09-27,396.5366516113281,589.2379150390625,434.4606628417969,649.70458984375,582.912353515625,254.8738250732422,1708.07958984375,108.61360931396484
2019-10-04,381.5396728515625,563.427490234375,400.31890869140625,659.0489501953125,582.4893798828125,226.5494384765625,1727.3524169921875,109.11857604980469
2019-10-11,388.30755615234375,567.737060546875,414.48822021484375,676.782470703125,602.3050537109375,230.71878051757812,1650.510986328125,109.92194366455078
2019-10-18,404.3796081542969,582.0394897460938,423.4346923828125,637.7852172851562,630.6925048828125,244.4051055908203,1747.504150390625,114.26004791259766
2019-10-25,389.6807556152344,582.0394897460938,453.70770263671875,536.1383056640625,637.30517578125,255.19102478027344,1804.9227294921875,116.1422119140625
2019-11-01,397.7533264160156,587.2725830078125,447.08245849609375,578.570068359375,648.7492065429688,284.19512939453125,1869.4344482421875,118.71295928955078
2019-11-08,406.51019287109375,594.6368408203125,473.3899841308594,595.6017456054688,643.6728515625,286.4158020019531,1809.170166015625,117.7030029296875
2019-11-15,409.26129150390625,605.1978149414062,483.44873046875,592.0271606445312,654.9610595703125,291.7633972167969,1846.9677734375,115.93562316894531
2019-11-22,398.5792236328125,598.9701538085938,480.498779296875,583.0277099609375,688.6474609375,298.4706115722656,1759.692626953125,111.59751892089844
2019-11-29,398.1785583496094,603.80078125,495.7803039550781,585.6770629882812,690.7182006835938,309.8457336425781,1744.021240234375,109.11857604980469
2019-12-06,386.2015075683594,590.1140747070312,507.5800476074219,601.447021484375,692.3880615234375,290.0412902832031,1803.7763671875,110.63347625732422
2019-12-13,397.9586486816406,598.5439453125,519.4281005859375,598.2510375976562,704.856201171875,301.4163513183594,1759.3104248046875,111.9417953491211
2019-12-20,404.1792297363281,614.1012573242188,528.1810302734375,615.2825927734375,712.070068359375,306.2201843261719,1888.1214599609375,115.59132385253906
2019-12-27,415.6187744140625,603.824462890625,531.3728637695312,619.8244018554688,686.7996215820312,305.67633056640625,1867.395751953125,113.64032745361328
2020-01-03,409.8329772949219,600.6987915039062,521.1690063476562,627.4360961914062,684.4840698242188,302.4587097167969,1869.22216796875,115.26998901367188
2020-01-10,405.083251953125,607.4710083007812,522.523193359375,620.8336791992188,689.15966796875,301.1444396972656,1880.1795654296875,115.56837463378906
2020-01-17,413.5761413574219,605.3162231445312,514.5921020507812,645.8133544921875,704.01025390625,288.228515625,1884.8934326171875,115.26998901367188
2020-01-24,409.9356384277344,589.4036865234375,516.3330078125,658.3452758789062,677.5374755859375,293.71209716796875,1858.7811279296875,114.12215423583984
2020-01-31,426.6868591308594,580.7607421875,508.4022216796875,652.6259765625,628.5995483398438,288.6363830566406,1769.945556640625,109.144287109375
2020-02-07,454.8726501464844,588.2908325195312,518.8477783203125,653.7614135742188,638.3961181640625,290.539794921875,1818.89697265625,112.4398193359375
2020-02-14,467.32855224609375,577.46923828125,527.8909301757812,661.457275390625,662.4197387695312,289.49749755859375,1859.4625244140625,111.95584106445312
2020-02-21,476.9747009277344,576.4036865234375,529.0516357421875,670.33056640625,661.6849975585938,296.9751281738281,1836.13623046875,113.24642181396484
2020-02-28,436.45513916015625,557.7206420898438,480.93402099609375,615.4088134765625,591.6401977539062,274.6328430175781,1702.7764892578125,102.06926727294922
2020-03-06,413.94879150390625,537.474853515625,470.39166259765625,621.506591796875,565.9689331054688,245.17555236816406,1801.7852783203125,103.03718566894531
2020-03-13,387.1773376464844,506.6443176269531,432.52630615234375,540.2593383789062,492.1837463378906,219.34373474121094,1537.7469482421875,90.98430633544922
2020-03-20,289.1573181152344,418.1070251464844,334.35675048828125,492.1924133300781,453.2872619628906,190.2036590576172,1541.393310546875,82.5956802368164
2020-03-27,249.03440856933594,428.3365478515625,328.6986999511719,548.9644775390625,474.5055236816406,177.60498046875,1564.58935546875,84.57760620117188
2020-04-03,216.23861694335938,385.4294128417969,277.24432373046875,492.6130065917969,479.7822570800781,159.06951904296875,1418.550048828125,82.96441650390625
2020-04-10,249.96987915039062,438.0924377441406,331.4551696777344,535.1289672851562,543.2366943359375,170.1726531982422,1514.552001953125,90.66165161132812
2020-04-17,226.09791564941406,431.10699462890625,363.227294921875,528.821044921875,545.0401000976562,175.15774536132812,1548.896728515625,86.19078826904297
2020-04-24,193.5862274169922,444.2490539550781,323.8627624511719,553.4222412109375,630.98193359375,162.92164611816406,1559.4874267578125,81.92736053466797
2020-05-01,227.0725860595703,474.4402770996094,367.6763610839844,601.7835083007812,652.8013916015625,172.66522216796875,1727.47998046875,88.01140594482422
2020-05-08,198.27828979492188,439.9867248535156,326.6192626953125,567.0474243164062,695.4605712890625,151.04808044433594,1623.67431640625,84.80805969238281
2020-05-15,204.38101196289062,420.6170349121094,312.1114196777344,548.6281127929688,656.0225219726562,150.8214569091797,1623.245849609375,84.71588134765625
2020-05-22,185.65664672851562,397.26910400390625,281.49993896484375,582.3128051757812,643.5034790039062,136.72727966308594,1732.539794921875,87.11263275146484
2020-05-29,191.3723907470703,450.6898498535156,321.0578918457031,589.0885620117188,658.2700805664062,146.19894409179688,1691.3778076171875,98.0823745727539
2020-06-05,234.14993286132812,489.3819580078125,345.4794006347656,599.7876586914062,710.9981689453125,170.21798706054688,1761.6282958984375,100.8248062133789
2020-06-12,240.00770568847656,465.4184265136719,332.90594482421875,589.9837646484375,714.189697265625,162.3778076171875,1754.1029052734375,95.82389068603516
2020-06-19,264.3449401855469,489.3819580078125,351.86285400390625,601.4926147460938,790.8770141601562,167.22694396972656,1758.4892578125,102.34581756591797
2020-06-26,284.4162292480469,500.3218994140625,337.64520263671875,637.8524169921875,782.898193359375,167.31756591796875,1822.3489990234375,103.91291809082031
2020-07-03,287.15899658203125,508.6096496582031,349.15472412109375,650.2138671875,806.9586181640625,167.40821838378906,1891.842041015625,103.61331939697266
2020-07-10,324.6419677734375,523.3618774414062,348.52606201171875,666.53955078125,847.6473999023438,177.28775024414062,1911.3653564453125,102.36885833740234
2020-07-17,323.3832702636719,520.2125244140625,342.1909484863281,769.9497680664062,862.8351440429688,170.58055114746094,1897.034423828125,120.45972442626953
